id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0302200.1 3.75 0.73 0.17 0.11 0.18 0.29 12.92 68.53
PF3D7_0302500.1 9.74 1.65 0.34 0.36 3.12 5.02 44.91 203.03
PF3D7_0304600.1 0.6 0.48 0.28 1.57 24.58 48.84 42.95 13.56
PF3D7_0310400.1 1 0.35 0.17 0.45 5.43 50.28 260.88 164
PF3D7_0313100.1 0.61 0.69 2.42 18.49 96.55 152.45 175.9 59.52
PF3D7_0315200.1 0.1 0.26 0.2 0.22 0.12 0.42 0.15 0.11
PF3D7_0317100.1 0.09 0.08 0.12 0.38 2.65 3.05 3.4 2.29
PF3D7_0320400.1 0.06 0.04 0.05 0.11 0.42 0.56 0.4 0.17
PF3D7_0323400.1 20.48 3.41 0.53 0.35 1.18 2.96 2.95 7.69
PF3D7_0324000.1 0 0 0.01 0.04 0 0.11 0.16 0
PF3D7_0324100.1 0.02 0.01 0.01 0.08 2.07 1.77 0.4 0.13
PF3D7_0324200.1 0.03 0.01 0.02 0.03 0 0.27 0.1 0.19
PF3D7_0324300.1 0.08 0.1 0.23 0.4 0.74 0.2 0.38 0.23
PF3D7_0324400.1 0 0 0 0 0.1 0 0 0.04
PF3D7_0324500.1 0.01 0 0.01 0 0 0.1 0.15 0.09
PF3D7_0324600.1 0.02 0 0 0.02 0.12 0.1 0.08 0.05
PF3D7_0324800.1 0.05 0.05 0.05 0.32 0.57 0.25 0.56 0.9
PF3D7_0400800.1 0.01 0.01 0 0.02 0.12 0.11 0.16 0
PF3D7_0400900.1 0.01 0 0.01 0.12 0.48 0.29 0.07 0
PF3D7_0401000.1 0.01 0 0.01 0.02 0.11 0.1 0 0.05
PF3D7_0401300.1 0.01 0 0.01 0.03 0.24 0.17 0 0
PF3D7_0401400.1 0.02 0 0.01 0.09 0.48 0 0.21 0.04
PF3D7_0401600.1 5.39 8.6 15.27 69.96 348.17 317.93 112.88 13.09
PF3D7_0401600.2 5.39 8.6 15.27 69.96 348.17 317.93 112.88 13.09
PF3D7_0401800.1 6.25 3.52 1.99 26.45 221.71 47.79 18.82 20.95
PF3D7_0402100.1 38.49 9.4 4.71 9.51 17.7 19.58 9.08 6.15
PF3D7_0402300.1 39.53 8.15 1.32 0.88 1.54 3.59 2.25 8.8
PF3D7_0402600.1 0.01 0.01 0.01 0.04 0.29 0.73 0.23 0.05
PF3D7_0404700.1 15.07 2.21 0.4 0.53 0.36 0.54 16.33 87.62
PF3D7_0404900.1 10.39 2.25 1.12 3.77 15.23 16.62 61 101.59
PF3D7_0405300.1 0.48 0.11 0.12 0.4 1.15 2.23 2.47 2.1
PF3D7_0405900.1 19.62 3.14 0.65 0.58 1.55 7.1 29.68 186.14
PF3D7_0406200.1 39.78 55.94 96.97 292.26 882.39 1185.97 863.77 510.15
PF3D7_0408600.1 0.63 0.15 0.03 0.04 0.41 4.35 6.33 3.65
PF3D7_0408700.1 0.04 0.03 0.02 0.06 0.51 0.93 0.88 0.77
PF3D7_0413200.1 0.01 0 0 0 0 0 0 0.04
PF3D7_0413300.1 0 0 0.01 0.03 0.05 0 0.07 0.04
PF3D7_0419700.1 9.28 1.45 0.32 0.69 1.74 3.19 17.69 82.73
PF3D7_0421200.1 0 0.01 0.01 0.02 0.05 0.09 0.13 0
PF3D7_0423400.1 9.99 1.63 0.43 0.19 1.22 0.87 12.59 71.61
PF3D7_0423700.1 19.48 11.61 6.98 26.86 266.24 607.54 1185.63 1225.31
PF3D7_0423800.1 9 1.64 0.53 0.57 2.45 11.89 15.44 18.98
