FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL;;FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL
0;50;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;51;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;52;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;53;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;54;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;55;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;56;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;57;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;58;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;59;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;60;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;61;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;62;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;63;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;64;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;65;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;66;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;67;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;68;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;69;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;70;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;71;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;72;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;73;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;74;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;75;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;76;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;77;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;78;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;79;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;80;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;81;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;82;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;83;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;84;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;85;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;86;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;87;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;88;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;89;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;90;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;91;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;92;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;93;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;94;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;95;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;96;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;97;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
0;98;22;2;8;78;0.9090909091;0.7638154769;0.9166666667;0.7333333333;;;;;;;;;;;
1;0;26;7;9;68;0.8545454545;0.6601724505;0.7878787879;0.7428571429;;;;;;;;;;;
1;1;28;9;7;66;0.8545454545;0.6703649119;0.7567567568;0.8;;;;;;;;;;;
1;2;29;8;6;67;0.8727272727;0.7116759149;0.7837837838;0.8285714286;;;;;;;;;;;
1;3;31;8;4;67;0.8909090909;0.7585202519;0.7948717949;0.8857142857;;;;;;;;;;;
1;4;31;8;4;67;0.8909090909;0.7585202519;0.7948717949;0.8857142857;;;;;;;;;;;
1;5;31;8;4;67;0.8909090909;0.7585202519;0.7948717949;0.8857142857;;;;;;;;;;;
1;6;31;5;4;70;0.9181818182;0.8130302338;0.8611111111;0.8857142857;;;;;;;;;;;
1;7;29;4;6;71;0.9090909091;0.7879477635;0.8787878788;0.8285714286;;;;;;;;;;;
1;8;29;4;6;71;0.9090909091;0.7879477635;0.8787878788;0.8285714286;;;;;;;;;;;
1;9;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;10;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;11;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;12;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;13;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;14;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;15;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;16;29;3;6;72;0.9181818182;0.8086924734;0.90625;0.8285714286;;;;;;;;;;;
1;17;28;3;7;72;0.9090909091;0.7868353327;0.9032258065;0.8;;;;;;;;;;;
1;18;27;3;8;72;0.9;0.76494631;0.9;0.7714285714;;;;;;;;;;;
1;19;27;3;8;72;0.9;0.76494631;0.9;0.7714285714;;;;;;;;;;;
1;20;27;3;8;72;0.9;0.76494631;0.9;0.7714285714;;;;;;;;;;;
1;21;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;22;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;23;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;24;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;25;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;26;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;27;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;28;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;29;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;30;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;31;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
1;32;27;2;8;73;0.9090909091;0.7873006309;0.9310344828;0.7714285714;;;;;;;;;;;
