FOLD,EPOCH,TP,FP,FN,TN,ACCURACY,MCC,PPV,RECALL
0,64,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,66,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,67,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,68,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,72,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,81,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,84,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,85,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,87,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,89,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,90,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,96,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
1,0,26,5,5,74,0.909090909091,0.775418538179,0.838709677419,0.838709677419
1,1,23,6,8,73,0.872727272727,0.680014322738,0.793103448276,0.741935483871
1,4,24,7,7,72,0.872727272727,0.68558595345,0.774193548387,0.774193548387
1,6,24,6,7,73,0.881818181818,0.705336075339,0.8,0.774193548387
1,13,27,8,4,71,0.890909090909,0.74345092837,0.771428571429,0.870967741935
1,15,28,8,3,71,0.9,0.768917916772,0.777777777778,0.903225806452
1,16,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,18,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
1,21,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
1,29,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
1,30,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
1,36,28,6,3,73,0.918181818182,0.805376204362,0.823529411765,0.903225806452
1,37,27,6,4,73,0.909090909091,0.780493384715,0.818181818182,0.870967741935
1,42,29,6,2,73,0.927272727273,0.830219736987,0.828571428571,0.935483870968
1,47,29,7,2,72,0.918181818182,0.811983584209,0.805555555556,0.935483870968
1,51,29,6,2,73,0.927272727273,0.830219736987,0.828571428571,0.935483870968
1,54,29,6,2,73,0.927272727273,0.830219736987,0.828571428571,0.935483870968
1,56,29,7,2,72,0.918181818182,0.811983584209,0.805555555556,0.935483870968
1,60,29,7,2,72,0.918181818182,0.811983584209,0.805555555556,0.935483870968
1,62,29,7,2,72,0.918181818182,0.811983584209,0.805555555556,0.935483870968
1,64,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,65,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,66,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,67,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,69,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
1,73,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,75,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,83,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,85,28,8,3,71,0.9,0.768917916772,0.777777777778,0.903225806452
1,96,28,7,3,72,0.909090909091,0.786835332679,0.8,0.903225806452
1,98,27,7,4,72,0.9,0.761648967206,0.794117647059,0.870967741935
2,0,33,12,3,61,0.862385321101,0.718617427056,0.733333333333,0.916666666667
2,1,34,12,2,61,0.871559633028,0.742834370443,0.739130434783,0.944444444444
2,10,34,11,2,62,0.880733944954,0.758237710086,0.755555555556,0.944444444444
2,16,34,12,2,61,0.871559633028,0.742834370443,0.739130434783,0.944444444444
2,20,34,12,2,61,0.871559633028,0.742834370443,0.739130434783,0.944444444444
2,24,35,13,1,60,0.871559633028,0.752357461477,0.729166666667,0.972222222222
2,25,35,13,1,60,0.871559633028,0.752357461477,0.729166666667,0.972222222222
2,27,34,12,2,61,0.871559633028,0.742834370443,0.739130434783,0.944444444444
2,34,35,13,1,60,0.871559633028,0.752357461477,0.729166666667,0.972222222222
2,37,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,38,35,13,1,60,0.871559633028,0.752357461477,0.729166666667,0.972222222222
2,39,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,41,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,45,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,48,34,13,2,60,0.862385321101,0.727783176299,0.723404255319,0.944444444444
2,49,34,14,2,59,0.853211009174,0.713063276857,0.708333333333,0.944444444444
2,51,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,53,35,13,1,60,0.871559633028,0.752357461477,0.729166666667,0.972222222222
2,58,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,61,36,15,0,58,0.862385321101,0.748891202942,0.705882352941,1.0
2,63,35,15,1,58,0.853211009174,0.723687984524,0.7,0.972222222222
2,64,35,15,1,58,0.853211009174,0.723687984524,0.7,0.972222222222
2,76,35,15,1,58,0.853211009174,0.723687984524,0.7,0.972222222222
2,77,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
2,87,36,15,0,58,0.862385321101,0.748891202942,0.705882352941,1.0
2,97,35,14,1,59,0.862385321101,0.737869084867,0.714285714286,0.972222222222
3,0,31,8,4,66,0.889908256881,0.757405161969,0.794871794872,0.885714285714
3,6,31,6,4,68,0.908256880734,0.793379039124,0.837837837838,0.885714285714
3,7,31,6,4,68,0.908256880734,0.793379039124,0.837837837838,0.885714285714
3,9,31,5,4,69,0.917431192661,0.812210115892,0.861111111111,0.885714285714
3,13,31,5,4,69,0.917431192661,0.812210115892,0.861111111111,0.885714285714
3,14,31,5,4,69,0.917431192661,0.812210115892,0.861111111111,0.885714285714
3,23,31,7,4,67,0.899082568807,0.775123856552,0.815789473684,0.885714285714
3,27,31,9,4,65,0.880733944954,0.740186860035,0.775,0.885714285714
3,28,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,32,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,33,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
3,43,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,45,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,48,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,65,31,11,4,63,0.862385321101,0.707121431051,0.738095238095,0.885714285714
3,68,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
3,70,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
3,71,31,13,4,61,0.844036697248,0.675692083393,0.704545454545,0.885714285714
3,77,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
3,80,31,13,4,61,0.844036697248,0.675692083393,0.704545454545,0.885714285714
3,81,31,13,4,61,0.844036697248,0.675692083393,0.704545454545,0.885714285714
3,82,31,14,4,60,0.834862385321,0.660526745329,0.688888888889,0.885714285714
3,84,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
3,89,31,13,4,61,0.844036697248,0.675692083393,0.704545454545,0.885714285714
3,97,31,12,4,62,0.853211009174,0.691215564675,0.720930232558,0.885714285714
4,0,37,7,4,61,0.899082568807,0.789370091221,0.840909090909,0.90243902439
4,1,35,6,6,62,0.889908256881,0.765423242468,0.853658536585,0.853658536585
4,2,32,6,9,62,0.862385321101,0.703703889772,0.842105263158,0.780487804878
4,3,31,6,10,62,0.853211009174,0.683228826575,0.837837837838,0.756097560976
4,8,34,8,7,60,0.862385321101,0.708326086666,0.809523809524,0.829268292683
4,9,34,8,7,60,0.862385321101,0.708326086666,0.809523809524,0.829268292683
4,11,37,9,4,59,0.880733944954,0.755329538972,0.804347826087,0.90243902439
4,13,35,9,6,59,0.862385321101,0.712168350581,0.795454545455,0.853658536585
4,14,35,9,6,59,0.862385321101,0.712168350581,0.795454545455,0.853658536585
4,24,36,8,5,60,0.880733944954,0.750769220901,0.818181818182,0.878048780488
4,29,33,9,8,59,0.844036697248,0.669410994203,0.785714285714,0.80487804878
4,31,33,9,8,59,0.844036697248,0.669410994203,0.785714285714,0.80487804878
4,34,34,8,7,60,0.862385321101,0.708326086666,0.809523809524,0.829268292683
4,35,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,40,33,9,8,59,0.844036697248,0.669410994203,0.785714285714,0.80487804878
4,43,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,49,33,8,8,60,0.853211009174,0.687230989957,0.80487804878,0.80487804878
4,52,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,60,33,9,8,59,0.844036697248,0.669410994203,0.785714285714,0.80487804878
4,72,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,74,35,9,6,59,0.862385321101,0.712168350581,0.795454545455,0.853658536585
4,76,34,8,7,60,0.862385321101,0.708326086666,0.809523809524,0.829268292683
4,82,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,83,35,9,6,59,0.862385321101,0.712168350581,0.795454545455,0.853658536585
4,89,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
4,97,34,9,7,59,0.853211009174,0.69074892917,0.790697674419,0.829268292683
5,0,26,8,7,68,0.862385321101,0.67697074937,0.764705882353,0.787878787879
5,1,25,6,8,70,0.871559633028,0.691142566543,0.806451612903,0.757575757576
5,2,26,5,7,71,0.889908256881,0.735404928325,0.838709677419,0.787878787879
5,6,27,5,6,71,0.899082568807,0.759080407977,0.84375,0.818181818182
5,9,27,7,6,69,0.880733944954,0.720072274885,0.794117647059,0.818181818182
5,13,27,7,6,69,0.880733944954,0.720072274885,0.794117647059,0.818181818182
5,15,28,7,5,69,0.889908256881,0.744309706724,0.8,0.848484848485
5,19,28,8,5,68,0.880733944954,0.72605490127,0.777777777778,0.848484848485
5,22,28,8,5,68,0.880733944954,0.72605490127,0.777777777778,0.848484848485
5,23,28,8,5,68,0.880733944954,0.72605490127,0.777777777778,0.848484848485
5,25,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,27,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,33,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
5,35,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,36,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,38,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,40,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,41,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,44,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
5,49,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
5,56,28,9,5,67,0.871559633028,0.708365608753,0.756756756757,0.848484848485
5,57,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
5,59,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
5,61,27,9,6,67,0.862385321101,0.68359782818,0.75,0.818181818182
