id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0409700.1 1.72 0.44 0.29 2.26 22.4 41.2 52.96 29.09
PF3D7_0411700.1 0.12 0.12 0.11 0.25 1.15 0.23 0.5 0.31
PF3D7_0413800.1 0.14 0.07 0.06 0.4 2.97 8.63 17.79 9.03
PF3D7_0415700.1 2.01 0.34 0.06 0.29 4.3 15.75 32.57 14.41
PF3D7_0417000.1 0.05 0.05 0.05 0.15 0.45 1.26 0.76 0.47
PF3D7_0418800.1 0.3 0.2 0.29 0.38 0.54 1.2 0.71 0.44
PF3D7_0419200.1 2.17 1.32 2.28 5.84 29.29 62.32 134.79 94.56
PF3D7_0419400.1 0.49 0.09 0.04 0.07 0.24 0.97 14.59 24.54
PF3D7_0421900.1 0.57 0.3 0.2 0.73 2.71 0.88 0.65 1.01
PF3D7_0422000.1 0.37 0.41 2.07 10.53 45.66 69.07 62.77 24.33
PF3D7_0422100.1 0.42 1.76 4.1 14.63 64.87 111.49 147.08 58.41
PF3D7_0422800.1 1.07 0.37 0.11 0.46 3.02 11.64 26.42 15.96
PF3D7_0423300.1 20.66 3.09 0.9 1.04 2.49 5.75 31.89 156.06
PF3D7_0423900.1 23.7 8.22 4.48 7.34 17.51 16.09 10.89 11.42
PF3D7_0502500.1 0.1 0.06 0.06 0.21 0.6 1.69 1.88 0.51
PF3D7_0504200.1 1.69 0.34 0.18 1.29 21.78 48.1 50.4 20.39
PF3D7_0504500.1 0.45 0.26 0.28 0.7 1.48 2.63 3.03 5.26
PF3D7_0505700.1 2.08 4.23 5.84 20.1 75.66 139.43 219.93 62.61
PF3D7_0506400.1 1.75 0.29 0.05 0.2 0 0.81 1.39 3.22
PF3D7_0507200.1 1.35 0.24 0.23 0.74 2.24 2.33 7.34 15.2
PF3D7_0507300.1 5.26 0.65 0.12 0.17 0.44 0.81 0.62 1.41
PF3D7_0507400.1 18.88 2.59 0.4 0.31 0.46 1.64 5.44 16.11
PF3D7_0508200.1 0.35 0.16 0.16 0.4 2.74 16.37 32.47 20.25
