id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0816600.1 0.14 0.1 0.15 3.08 45.23 84.54 74.16 17.14
PF3D7_0820800.1 0.13 0.07 0.09 0.56 6.67 13.8 19.59 7.16
PF3D7_0823600.1 0.18 0.46 0.67 0.65 2.29 2.97 3.31 0.6
PF3D7_0827500.1 0.66 0.33 0.17 1.48 19.44 67.68 130.3 70.98
PF3D7_0827600.1 0.38 0.19 0.13 1.4 19.84 50.72 88.56 33.78
PF3D7_0828200.1 0.59 0.23 0.43 6.62 54.94 72.36 71.78 23.09
PF3D7_0904700.1 1.11 0.42 0.29 0.87 11.03 42.61 176.88 106.52
PF3D7_0906200.1 0.24 0.18 0.27 1.07 8.1 14.2 22.86 12.98
PF3D7_0907900.1 0.68 0.24 0.25 3.45 51 137.34 165.78 73.74
PF3D7_0911700.1 0.22 0.08 0.16 2.46 22.52 36.44 47.86 18.05
PF3D7_0913700.1 0.84 0.5 1.31 7.69 38.45 74.51 111 42.47
PF3D7_0913900.1 0.46 0.39 0.77 3.26 12.57 16.42 15.2 3.3
PF3D7_0914300.1 1.26 2.39 4.32 11.27 46.33 44.76 35.78 7.12
PF3D7_0916200.1 0.18 0.13 0.34 4 37.14 51.73 54.97 13.13
PF3D7_0916500.1 0.85 0.34 0.34 2.24 30.08 57.28 66.56 31.51
PF3D7_0918200.1 1.34 2.39 3.48 7.3 22 53.89 64.8 42.34
PF3D7_0920200.1 0.21 0.13 0.06 0.61 12.07 34.99 64.6 30.64
PF3D7_0920600.1 3.88 0.9 0.2 0.21 3.77 12.67 30.07 17.42
PF3D7_0921400.1 0.02 0.04 0.03 0.07 2.72 13.34 16.88 5.03
PF3D7_0922900.1 0.06 0.05 0.08 0.35 0.88 3.65 4.31 1.35
PF3D7_0925300.1 0.34 0.26 0.23 0.81 11.33 33.84 65.16 32.47
PF3D7_0929900.1 0.38 0.15 0.11 0.24 4.62 18.38 56.08 33.02
PF3D7_0930100.1 1.61 0.2 0.13 1.05 10.37 21.43 31.66 16.42
PF3D7_0934000.1 0.26 0.29 0.9 4.53 20.16 29.35 35.48 11.37
PF3D7_1005000.1 0.47 0.39 0.45 1.33 6.7 10.08 11.1 5.34
PF3D7_1005900.1 0.29 0.14 0.11 0.24 3.41 13.87 32.14 20.05
PF3D7_1015200.1 1.02 2.33 4.25 13.1 64.25 86.89 59.55 12.47
PF3D7_1015200.2 1.02 2.33 4.25 13.1 64.25 86.89 59.55 12.47
PF3D7_1018000.1 0.26 0.21 0.39 1.72 9.69 15.39 24.63 7.71
PF3D7_1020800.1 0.38 0.49 0.5 1.09 4.9 8.36 8.93 3.39
PF3D7_1021000.1 0.61 0.46 0.17 0.81 13.04 48.5 99.47 40.94
PF3D7_1021300.1 0.27 0.14 0.13 0.31 1.87 26.8 95.79 63.16
PF3D7_1022800.1 0.44 0.18 0.09 0.35 12.31 51.55 94.55 38.72
PF3D7_1025300.1 0.13 0.05 0.2 1.96 12.16 20.82 29.43 10.11
PF3D7_1032000.1 0.15 0.14 0.13 0.41 6.46 27.02 37.62 13.46
PF3D7_1037100.1 0.16 0.1 0.3 3.72 40.06 67.15 52.66 11.65
PF3D7_1103400.1 0.29 0.16 0.23 2.29 21.91 54.33 77.72 20.86
PF3D7_1106200.1 0.15 0.07 0.11 1.45 16.85 35.61 57.84 19.06
PF3D7_1106300.1 0.65 0.23 0.29 3.44 36.34 71.25 84.25 37.93
PF3D7_1106500.1 0.13 0.44 1.22 5.91 27.73 34.15 39.83 10.62
PF3D7_1114800.1 0.6 0.4 0.5 1.07 3.24 7.1 10.83 14.03
PF3D7_1117500.1 0.59 0.24 0.22 1.64 18.17 36.6 39.69 11.49
PF3D7_1120500.1 1.88 1.92 3.37 9.84 38.88 55.61 57.59 19.65
PF3D7_1124500.1 0.17 0.45 0.66 1.46 4.34 11.38 13.14 4.65
PF3D7_1126000.1 2.35 5.43 10.74 31.93 130.51 157.58 136.49 40
PF3D7_1144700.1 0.33 0.18 0.22 0.7 9.56 57.07 80.69 42.91
PF3D7_1145500.1 0.17 0.05 0.06 0.44 9.05 26.03 27.5 8.54
PF3D7_1205300.1 0.17 0.08 0.04 0.15 3.27 13.8 40.68 20.91
PF3D7_1205700.1 0.84 0.3 0.45 1.44 15.83 24.19 31.47 13.92
PF3D7_1207600.1 0.81 2.29 3.92 12.62 58.11 70.8 54.16 10.68
PF3D7_1209600.1 0.78 0.16 0.04 0.15 0.16 2.31 1.81 1.7
PF3D7_1212000.1 0.55 0.58 1.54 6.96 55.77 180.46 289.93 127.4
PF3D7_1212100.1 0.68 0.59 1.04 5.5 42.19 104.2 174.08 58.39
PF3D7_1216000.1 0.36 0.76 2.11 8.82 44.21 66.32 84.2 29.95
PF3D7_1217300.1 0.91 0.8 0.74 3.79 22.15 50.01 67.96 22.8
