FOLD,EPOCH,TP,FP,FN,TN,ACCURACY,MCC,PPV,RECALL
2,25,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,29,26,3,9,71,0.889908256881,0.742059662653,0.896551724138,0.742857142857
2,37,25,5,10,69,0.862385321101,0.676068585563,0.833333333333,0.714285714286
2,38,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,42,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,44,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,49,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,51,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,56,25,4,10,70,0.871559633028,0.697593195787,0.862068965517,0.714285714286
2,60,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,65,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,66,27,5,8,69,0.880733944954,0.721633082683,0.84375,0.771428571429
2,68,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,70,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,75,26,4,9,70,0.880733944954,0.720063496504,0.866666666667,0.742857142857
2,76,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,83,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,85,27,4,8,70,0.889908256881,0.742450799678,0.870967741935,0.771428571429
2,86,26,5,9,69,0.871559633028,0.698894751689,0.838709677419,0.742857142857
2,94,26,5,9,69,0.871559633028,0.698894751689,0.838709677419,0.742857142857
3,0,19,6,15,69,0.807339449541,0.527637830971,0.76,0.558823529412
3,1,22,7,12,68,0.825688073394,0.580524581497,0.758620689655,0.647058823529
3,2,26,7,8,68,0.862385321101,0.67697074937,0.787878787879,0.764705882353
3,4,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,5,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,8,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,11,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,12,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,15,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,20,26,6,8,69,0.871559633028,0.69655240716,0.8125,0.764705882353
3,27,26,7,8,68,0.862385321101,0.67697074937,0.787878787879,0.764705882353
3,28,26,5,8,70,0.880733944954,0.71683922863,0.838709677419,0.764705882353
3,29,26,7,8,68,0.862385321101,0.67697074937,0.787878787879,0.764705882353
3,30,26,7,8,68,0.862385321101,0.67697074937,0.787878787879,0.764705882353
3,31,27,7,7,68,0.871559633028,0.700784313725,0.794117647059,0.794117647059
3,38,26,7,8,68,0.862385321101,0.67697074937,0.787878787879,0.764705882353
3,41,27,5,7,70,0.889908256881,0.740037064881,0.84375,0.794117647059
3,43,26,6,8,69,0.871559633028,0.69655240716,0.8125,0.764705882353
3,44,26,6,8,69,0.871559633028,0.69655240716,0.8125,0.764705882353
3,46,26,6,8,69,0.871559633028,0.69655240716,0.8125,0.764705882353
3,53,26,5,8,70,0.880733944954,0.71683922863,0.838709677419,0.764705882353
3,59,26,5,8,70,0.880733944954,0.71683922863,0.838709677419,0.764705882353
3,60,26,5,8,70,0.880733944954,0.71683922863,0.838709677419,0.764705882353
3,62,26,6,8,69,0.871559633028,0.69655240716,0.8125,0.764705882353
3,63,28,7,6,68,0.880733944954,0.724535558344,0.8,0.823529411765
3,64,28,7,6,68,0.880733944954,0.724535558344,0.8,0.823529411765
3,65,29,7,5,68,0.889908256881,0.748250214582,0.805555555556,0.852941176471
